,start_page,end_page,guid,pages,ship_name,hull_number,country,base_port,ship_class,ship_type,ship_role,displacement_full_load_tons,length_metres,beam_metres,draught_metres,hull_form,hull_shape,bow_shape,speed_knots,complement_total_personnel,superstructure_layout,distinct_superstructure_blocks_number,funnel_arrangement,funnels_total,funnel_shape,spacing_between_funnels,smokestacks_total,main_machinery,main_gun,main_gun_caliber_inches,main_gun_turrets_total,torpedo_tubes_visible_number,length_to_beam_ratio,approximate_size_category,mast_configuration,freeboard_height,radar_configuration,radar_airsearch,radar_surfacesearch,radar_firecontrol,sonar,gunmounts_position,gunmounts_number,gunmounts_size,missile_launchers,CIWS,CIWS_positions,flight_deck,hangar,hangar_capacity,helicopter_platform,helicopter_capacity,builder,launch_year,commission_year,CIWS_count,CIWS_type
2399,979,986,c437c99f-b080-4dcb-baaf-424da6a6563b,979-986,Ciudad Bolívar,T 81,Venezuela,,Logistic Support Ship (AORH),Replenishment Oiler,Replenishment,5750.0,137.7,15.0,6.6,Monohull,Bulky,Bluff,18.0,50.0,Split fore/aft,Multiple,Twin side-by-side,2.0,Raked,Close,2.0,2 Caterpillar diesels,2 Bofors 40mm/70,1.57,2.0,0.0,Balanced,"Medium (2,000-6,000 tons)",Two,High,Simple arrays (1-2 basic radars),,,,,Forward,2.0,Medium (30mm-76mm),,,Forward and aft,y,n,0.0,y,1.0,"Hyundai, Ulsan",,2001.0,,
2399,979,986,c437c99f-b080-4dcb-baaf-424da6a6563b,979-986,Ciudad Bolívar,T 81,Venezuela,,Logistic Support Ship (AORH),Replenishment Oiler,Replenishment,5750.0,137.7,15.0,6.6,Monohull,Bulky,Bluff,18.0,50.0,Split fore/aft,Multiple,Twin side-by-side,2.0,Raked,Close,2.0,2 Caterpillar diesels,2 Bofors 40mm/70,1.57,2.0,0.0,Balanced,"Medium (2,000-6,000 tons)",Two,High,Simple arrays (1-2 basic radars),,,,,Aft,2.0,Medium (30mm-76mm),,,Forward and aft,y,n,0.0,y,1.0,"Hyundai, Ulsan",,2001.0,,
2400,979,986,622d6534-df3c-4853-8d0e-11ce9db0dd72,979-986,General José Trinidad Moran,GC 12,Venezuela,,Almirante Clemente (WFS),Frigate,Patrol,1500.0,89.7,10.6,3.8,Monohull,Sleek,Fine,22.0,142.0,Split fore/aft,Multiple,Twin side-by-side,2.0,Raked,Close,2.0,2 GMT diesels,2 OTO Melara 76mm compact,3.0,2.0,6.0,Balanced,"Small (500-2,000 tons)",Two,Medium,Simple arrays (1-2 basic radars),Plessey AWS 4; E/F-band,Racal Decca 1226; I-band,Selenia RTN 10X; I/J-band,Plessey PMS 26; hull-mounted,Forward,2.0,Large (76mm-127mm),,,,n,n,0.0,n,0.0,"Ansaldo, Livorno",1954.0,1956.0,,
2400,979,986,622d6534-df3c-4853-8d0e-11ce9db0dd72,979-986,General José Trinidad Moran,GC 12,Venezuela,,Almirante Clemente (WFS),Frigate,Patrol,1500.0,89.7,10.6,3.8,Monohull,Sleek,Fine,22.0,142.0,Split fore/aft,Multiple,Twin side-by-side,2.0,Raked,Close,2.0,2 GMT diesels,2 OTO Melara 76mm compact,3.0,2.0,6.0,Balanced,"Small (500-2,000 tons)",Two,Medium,Simple arrays (1-2 basic radars),Plessey AWS 4; E/F-band,Racal Decca 1226; I-band,Selenia RTN 10X; I/J-band,Plessey PMS 26; hull-mounted,Forward,2.0,Medium (30mm-76mm),,,,n,n,0.0,n,0.0,"Ansaldo, Livorno",1954.0,1956.0,,
2400,979,986,622d6534-df3c-4853-8d0e-11ce9db0dd72,979-986,General José Trinidad Moran,GC 12,Venezuela,,Almirante Clemente (WFS),Frigate,Patrol,1500.0,89.7,10.6,3.8,Monohull,Sleek,Fine,22.0,142.0,Split fore/aft,Multiple,Twin side-by-side,2.0,Raked,Close,2.0,2 GMT diesels,2 OTO Melara 76mm compact,3.0,2.0,6.0,Balanced,"Small (500-2,000 tons)",Two,Medium,Simple arrays (1-2 basic radars),Plessey AWS 4; E/F-band,Racal Decca 1226; I-band,Selenia RTN 10X; I/J-band,Plessey PMS 26; hull-mounted,Aft,2.0,Large (76mm-127mm),,,,n,n,0.0,n,0.0,"Ansaldo, Livorno",1954.0,1956.0,,
2400,979,986,622d6534-df3c-4853-8d0e-11ce9db0dd72,979-986,General José Trinidad Moran,GC 12,Venezuela,,Almirante Clemente (WFS),Frigate,Patrol,1500.0,89.7,10.6,3.8,Monohull,Sleek,Fine,22.0,142.0,Split fore/aft,Multiple,Twin side-by-side,2.0,Raked,Close,2.0,2 GMT diesels,2 OTO Melara 76mm compact,3.0,2.0,6.0,Balanced,"Small (500-2,000 tons)",Two,Medium,Simple arrays (1-2 basic radars),Plessey AWS 4; E/F-band,Racal Decca 1226; I-band,Selenia RTN 10X; I/J-band,Plessey PMS 26; hull-mounted,Aft,2.0,Medium (30mm-76mm),,,,n,n,0.0,n,0.0,"Ansaldo, Livorno",1954.0,1956.0,,
2401,979,986,622d6534-df3c-4853-8d0e-11ce9db0dd72,979-986,Almirante Clemente,(GC 11),Venezuela,,Almirante Clemente (WFS),Frigate,Patrol,1500.0,89.7,10.6,3.8,Monohull,Sleek,Fine,22.0,142.0,Split fore/aft,Multiple,Twin side-by-side,2.0,Raked,Close,2.0,2 GMT diesels,2 OTO Melara 76mm compact,3.0,2.0,6.0,Balanced,"Small (500-2,000 tons)",Two,Medium,Simple arrays (1-2 basic radars),Plessey AWS 4; E/F-band,Racal Decca 1226; I-band,Selenia RTN 10X; I/J-band,Plessey PMS 26; hull-mounted,Forward,2.0,Large (76mm-127mm),,,,n,n,0.0,n,0.0,"Ansaldo, Livorno",1954.0,1956.0,,
2401,979,986,622d6534-df3c-4853-8d0e-11ce9db0dd72,979-986,Almirante Clemente,(GC 11),Venezuela,,Almirante Clemente (WFS),Frigate,Patrol,1500.0,89.7,10.6,3.8,Monohull,Sleek,Fine,22.0,142.0,Split fore/aft,Multiple,Twin side-by-side,2.0,Raked,Close,2.0,2 GMT diesels,2 OTO Melara 76mm compact,3.0,2.0,6.0,Balanced,"Small (500-2,000 tons)",Two,Medium,Simple arrays (1-2 basic radars),Plessey AWS 4; E/F-band,Racal Decca 1226; I-band,Selenia RTN 10X; I/J-band,Plessey PMS 26; hull-mounted,Forward,2.0,Medium (30mm-76mm),,,,n,n,0.0,n,0.0,"Ansaldo, Livorno",1954.0,1956.0,,
2401,979,986,622d6534-df3c-4853-8d0e-11ce9db0dd72,979-986,Almirante Clemente,(GC 11),Venezuela,,Almirante Clemente (WFS),Frigate,Patrol,1500.0,89.7,10.6,3.8,Monohull,Sleek,Fine,22.0,142.0,Split fore/aft,Multiple,Twin side-by-side,2.0,Raked,Close,2.0,2 GMT diesels,2 OTO Melara 76mm compact,3.0,2.0,6.0,Balanced,"Small (500-2,000 tons)",Two,Medium,Simple arrays (1-2 basic radars),Plessey AWS 4; E/F-band,Racal Decca 1226; I-band,Selenia RTN 10X; I/J-band,Plessey PMS 26; hull-mounted,Aft,2.0,Large (76mm-127mm),,,,n,n,0.0,n,0.0,"Ansaldo, Livorno",1954.0,1956.0,,
2401,979,986,622d6534-df3c-4853-8d0e-11ce9db0dd72,979-986,Almirante Clemente,(GC 11),Venezuela,,Almirante Clemente (WFS),Frigate,Patrol,1500.0,89.7,10.6,3.8,Monohull,Sleek,Fine,22.0,142.0,Split fore/aft,Multiple,Twin side-by-side,2.0,Raked,Close,2.0,2 GMT diesels,2 OTO Melara 76mm compact,3.0,2.0,6.0,Balanced,"Small (500-2,000 tons)",Two,Medium,Simple arrays (1-2 basic radars),Plessey AWS 4; E/F-band,Racal Decca 1226; I-band,Selenia RTN 10X; I/J-band,Plessey PMS 26; hull-mounted,Aft,2.0,Medium (30mm-76mm),,,,n,n,0.0,n,0.0,"Ansaldo, Livorno",1954.0,1956.0,,
2402,979,986,90fbf090-8086-4df8-a0d3-4559d071c494,979-986,"Gavion, Alca, Bernacia, Chaman, Colimbo, Fardela, Fumarel, Negron, Pigargo, Pagazza, Serreta",PG 401,Venezuela,,Gavion (WPB),Patrol Boat,Patrol,65.0,24.4,5.2,1.6,Monohull,Sleek,Raked,25.0,10.0,Single continuous,1,Single compact,1.0,Raked,Integrated,1.0,2 Detroit diesels,"2x 12.7 mm MGs, 1x 40mm MK 19 GL",0.5,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Raytheon R1210; I-band,,,Multiple positions,3.0,Small (<30mm - CIWS small caliber),,,Multiple positions,n,n,0.0,n,0.0,Halter Marine,1999.0,1999.0,,
2402,979,986,90fbf090-8086-4df8-a0d3-4559d071c494,979-986,"Gavion, Alca, Bernacia, Chaman, Colimbo, Fardela, Fumarel, Negron, Pigargo, Pagazza, Serreta",PG 401,Venezuela,,Gavion (WPB),Patrol Boat,Patrol,65.0,24.4,5.2,1.6,Monohull,Sleek,Raked,25.0,10.0,Single continuous,1,Single compact,1.0,Raked,Integrated,1.0,2 Detroit diesels,"2x 12.7 mm MGs, 1x 40mm MK 19 GL",0.5,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Raytheon R1210; I-band,,,Multiple positions,3.0,Medium (30mm-76mm),,,Multiple positions,n,n,0.0,n,0.0,Halter Marine,1999.0,1999.0,,
2402,979,986,90fbf090-8086-4df8-a0d3-4559d071c494,979-986,"Gavion, Alca, Bernacia, Chaman, Colimbo, Fardela, Fumarel, Negron, Pigargo, Pagazza, Serreta", PG 402,Venezuela,,Gavion (WPB),Patrol Boat,Patrol,65.0,24.4,5.2,1.6,Monohull,Sleek,Raked,25.0,10.0,Single continuous,1,Single compact,1.0,Raked,Integrated,1.0,2 Detroit diesels,"2x 12.7 mm MGs, 1x 40mm MK 19 GL",0.5,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Raytheon R1210; I-band,,,Multiple positions,3.0,Small (<30mm - CIWS small caliber),,,Multiple positions,n,n,0.0,n,0.0,Halter Marine,1999.0,1999.0,,
2402,979,986,90fbf090-8086-4df8-a0d3-4559d071c494,979-986,"Gavion, Alca, Bernacia, Chaman, Colimbo, Fardela, Fumarel, Negron, Pigargo, Pagazza, Serreta", PG 402,Venezuela,,Gavion (WPB),Patrol Boat,Patrol,65.0,24.4,5.2,1.6,Monohull,Sleek,Raked,25.0,10.0,Single continuous,1,Single compact,1.0,Raked,Integrated,1.0,2 Detroit diesels,"2x 12.7 mm MGs, 1x 40mm MK 19 GL",0.5,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Raytheon R1210; I-band,,,Multiple positions,3.0,Medium (30mm-76mm),,,Multiple positions,n,n,0.0,n,0.0,Halter Marine,1999.0,1999.0,,
2402,979,986,90fbf090-8086-4df8-a0d3-4559d071c494,979-986,"Gavion, Alca, Bernacia, Chaman, Colimbo, Fardela, Fumarel, Negron, Pigargo, Pagazza, Serreta", PG 403,Venezuela,,Gavion (WPB),Patrol Boat,Patrol,65.0,24.4,5.2,1.6,Monohull,Sleek,Raked,25.0,10.0,Single continuous,1,Single compact,1.0,Raked,Integrated,1.0,2 Detroit diesels,"2x 12.7 mm MGs, 1x 40mm MK 19 GL",0.5,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Raytheon R1210; I-band,,,Multiple positions,3.0,Small (<30mm - CIWS small caliber),,,Multiple positions,n,n,0.0,n,0.0,Halter Marine,1999.0,1999.0,,
2402,979,986,90fbf090-8086-4df8-a0d3-4559d071c494,979-986,"Gavion, Alca, Bernacia, Chaman, Colimbo, Fardela, Fumarel, Negron, Pigargo, Pagazza, Serreta", PG 403,Venezuela,,Gavion (WPB),Patrol Boat,Patrol,65.0,24.4,5.2,1.6,Monohull,Sleek,Raked,25.0,10.0,Single continuous,1,Single compact,1.0,Raked,Integrated,1.0,2 Detroit diesels,"2x 12.7 mm MGs, 1x 40mm MK 19 GL",0.5,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Raytheon R1210; I-band,,,Multiple positions,3.0,Medium (30mm-76mm),,,Multiple positions,n,n,0.0,n,0.0,Halter Marine,1999.0,1999.0,,
2402,979,986,90fbf090-8086-4df8-a0d3-4559d071c494,979-986,"Gavion, Alca, Bernacia, Chaman, Colimbo, Fardela, Fumarel, Negron, Pigargo, Pagazza, Serreta", PG 404,Venezuela,,Gavion (WPB),Patrol Boat,Patrol,65.0,24.4,5.2,1.6,Monohull,Sleek,Raked,25.0,10.0,Single continuous,1,Single compact,1.0,Raked,Integrated,1.0,2 Detroit diesels,"2x 12.7 mm MGs, 1x 40mm MK 19 GL",0.5,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Raytheon R1210; I-band,,,Multiple positions,3.0,Small (<30mm - CIWS small caliber),,,Multiple positions,n,n,0.0,n,0.0,Halter Marine,1999.0,1999.0,,
2402,979,986,90fbf090-8086-4df8-a0d3-4559d071c494,979-986,"Gavion, Alca, Bernacia, Chaman, Colimbo, Fardela, Fumarel, Negron, Pigargo, Pagazza, Serreta", PG 404,Venezuela,,Gavion (WPB),Patrol Boat,Patrol,65.0,24.4,5.2,1.6,Monohull,Sleek,Raked,25.0,10.0,Single continuous,1,Single compact,1.0,Raked,Integrated,1.0,2 Detroit diesels,"2x 12.7 mm MGs, 1x 40mm MK 19 GL",0.5,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Raytheon R1210; I-band,,,Multiple positions,3.0,Medium (30mm-76mm),,,Multiple positions,n,n,0.0,n,0.0,Halter Marine,1999.0,1999.0,,
2402,979,986,90fbf090-8086-4df8-a0d3-4559d071c494,979-986,"Gavion, Alca, Bernacia, Chaman, Colimbo, Fardela, Fumarel, Negron, Pigargo, Pagazza, Serreta", PG 405,Venezuela,,Gavion (WPB),Patrol Boat,Patrol,65.0,24.4,5.2,1.6,Monohull,Sleek,Raked,25.0,10.0,Single continuous,1,Single compact,1.0,Raked,Integrated,1.0,2 Detroit diesels,"2x 12.7 mm MGs, 1x 40mm MK 19 GL",0.5,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Raytheon R1210; I-band,,,Multiple positions,3.0,Small (<30mm - CIWS small caliber),,,Multiple positions,n,n,0.0,n,0.0,Halter Marine,1999.0,1999.0,,
2402,979,986,90fbf090-8086-4df8-a0d3-4559d071c494,979-986,"Gavion, Alca, Bernacia, Chaman, Colimbo, Fardela, Fumarel, Negron, Pigargo, Pagazza, Serreta", PG 405,Venezuela,,Gavion (WPB),Patrol Boat,Patrol,65.0,24.4,5.2,1.6,Monohull,Sleek,Raked,25.0,10.0,Single continuous,1,Single compact,1.0,Raked,Integrated,1.0,2 Detroit diesels,"2x 12.7 mm MGs, 1x 40mm MK 19 GL",0.5,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Raytheon R1210; I-band,,,Multiple positions,3.0,Medium (30mm-76mm),,,Multiple positions,n,n,0.0,n,0.0,Halter Marine,1999.0,1999.0,,
2402,979,986,90fbf090-8086-4df8-a0d3-4559d071c494,979-986,"Gavion, Alca, Bernacia, Chaman, Colimbo, Fardela, Fumarel, Negron, Pigargo, Pagazza, Serreta", PG 406,Venezuela,,Gavion (WPB),Patrol Boat,Patrol,65.0,24.4,5.2,1.6,Monohull,Sleek,Raked,25.0,10.0,Single continuous,1,Single compact,1.0,Raked,Integrated,1.0,2 Detroit diesels,"2x 12.7 mm MGs, 1x 40mm MK 19 GL",0.5,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Raytheon R1210; I-band,,,Multiple positions,3.0,Small (<30mm - CIWS small caliber),,,Multiple positions,n,n,0.0,n,0.0,Halter Marine,1999.0,1999.0,,
2402,979,986,90fbf090-8086-4df8-a0d3-4559d071c494,979-986,"Gavion, Alca, Bernacia, Chaman, Colimbo, Fardela, Fumarel, Negron, Pigargo, Pagazza, Serreta", PG 406,Venezuela,,Gavion (WPB),Patrol Boat,Patrol,65.0,24.4,5.2,1.6,Monohull,Sleek,Raked,25.0,10.0,Single continuous,1,Single compact,1.0,Raked,Integrated,1.0,2 Detroit diesels,"2x 12.7 mm MGs, 1x 40mm MK 19 GL",0.5,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Raytheon R1210; I-band,,,Multiple positions,3.0,Medium (30mm-76mm),,,Multiple positions,n,n,0.0,n,0.0,Halter Marine,1999.0,1999.0,,
2402,979,986,90fbf090-8086-4df8-a0d3-4559d071c494,979-986,"Gavion, Alca, Bernacia, Chaman, Colimbo, Fardela, Fumarel, Negron, Pigargo, Pagazza, Serreta", PG 407,Venezuela,,Gavion (WPB),Patrol Boat,Patrol,65.0,24.4,5.2,1.6,Monohull,Sleek,Raked,25.0,10.0,Single continuous,1,Single compact,1.0,Raked,Integrated,1.0,2 Detroit diesels,"2x 12.7 mm MGs, 1x 40mm MK 19 GL",0.5,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Raytheon R1210; I-band,,,Multiple positions,3.0,Small (<30mm - CIWS small caliber),,,Multiple positions,n,n,0.0,n,0.0,Halter Marine,1999.0,1999.0,,
2402,979,986,90fbf090-8086-4df8-a0d3-4559d071c494,979-986,"Gavion, Alca, Bernacia, Chaman, Colimbo, Fardela, Fumarel, Negron, Pigargo, Pagazza, Serreta", PG 407,Venezuela,,Gavion (WPB),Patrol Boat,Patrol,65.0,24.4,5.2,1.6,Monohull,Sleek,Raked,25.0,10.0,Single continuous,1,Single compact,1.0,Raked,Integrated,1.0,2 Detroit diesels,"2x 12.7 mm MGs, 1x 40mm MK 19 GL",0.5,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Raytheon R1210; I-band,,,Multiple positions,3.0,Medium (30mm-76mm),,,Multiple positions,n,n,0.0,n,0.0,Halter Marine,1999.0,1999.0,,
2402,979,986,90fbf090-8086-4df8-a0d3-4559d071c494,979-986,"Gavion, Alca, Bernacia, Chaman, Colimbo, Fardela, Fumarel, Negron, Pigargo, Pagazza, Serreta", PG 408,Venezuela,,Gavion (WPB),Patrol Boat,Patrol,65.0,24.4,5.2,1.6,Monohull,Sleek,Raked,25.0,10.0,Single continuous,1,Single compact,1.0,Raked,Integrated,1.0,2 Detroit diesels,"2x 12.7 mm MGs, 1x 40mm MK 19 GL",0.5,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Raytheon R1210; I-band,,,Multiple positions,3.0,Small (<30mm - CIWS small caliber),,,Multiple positions,n,n,0.0,n,0.0,Halter Marine,1999.0,1999.0,,
2402,979,986,90fbf090-8086-4df8-a0d3-4559d071c494,979-986,"Gavion, Alca, Bernacia, Chaman, Colimbo, Fardela, Fumarel, Negron, Pigargo, Pagazza, Serreta", PG 408,Venezuela,,Gavion (WPB),Patrol Boat,Patrol,65.0,24.4,5.2,1.6,Monohull,Sleek,Raked,25.0,10.0,Single continuous,1,Single compact,1.0,Raked,Integrated,1.0,2 Detroit diesels,"2x 12.7 mm MGs, 1x 40mm MK 19 GL",0.5,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Raytheon R1210; I-band,,,Multiple positions,3.0,Medium (30mm-76mm),,,Multiple positions,n,n,0.0,n,0.0,Halter Marine,1999.0,1999.0,,
2402,979,986,90fbf090-8086-4df8-a0d3-4559d071c494,979-986,"Gavion, Alca, Bernacia, Chaman, Colimbo, Fardela, Fumarel, Negron, Pigargo, Pagazza, Serreta", PG 409,Venezuela,,Gavion (WPB),Patrol Boat,Patrol,65.0,24.4,5.2,1.6,Monohull,Sleek,Raked,25.0,10.0,Single continuous,1,Single compact,1.0,Raked,Integrated,1.0,2 Detroit diesels,"2x 12.7 mm MGs, 1x 40mm MK 19 GL",0.5,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Raytheon R1210; I-band,,,Multiple positions,3.0,Small (<30mm - CIWS small caliber),,,Multiple positions,n,n,0.0,n,0.0,Halter Marine,1999.0,1999.0,,
2402,979,986,90fbf090-8086-4df8-a0d3-4559d071c494,979-986,"Gavion, Alca, Bernacia, Chaman, Colimbo, Fardela, Fumarel, Negron, Pigargo, Pagazza, Serreta", PG 409,Venezuela,,Gavion (WPB),Patrol Boat,Patrol,65.0,24.4,5.2,1.6,Monohull,Sleek,Raked,25.0,10.0,Single continuous,1,Single compact,1.0,Raked,Integrated,1.0,2 Detroit diesels,"2x 12.7 mm MGs, 1x 40mm MK 19 GL",0.5,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Raytheon R1210; I-band,,,Multiple positions,3.0,Medium (30mm-76mm),,,Multiple positions,n,n,0.0,n,0.0,Halter Marine,1999.0,1999.0,,
2402,979,986,90fbf090-8086-4df8-a0d3-4559d071c494,979-986,"Gavion, Alca, Bernacia, Chaman, Colimbo, Fardela, Fumarel, Negron, Pigargo, Pagazza, Serreta", PG 410,Venezuela,,Gavion (WPB),Patrol Boat,Patrol,65.0,24.4,5.2,1.6,Monohull,Sleek,Raked,25.0,10.0,Single continuous,1,Single compact,1.0,Raked,Integrated,1.0,2 Detroit diesels,"2x 12.7 mm MGs, 1x 40mm MK 19 GL",0.5,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Raytheon R1210; I-band,,,Multiple positions,3.0,Small (<30mm - CIWS small caliber),,,Multiple positions,n,n,0.0,n,0.0,Halter Marine,1999.0,1999.0,,
2402,979,986,90fbf090-8086-4df8-a0d3-4559d071c494,979-986,"Gavion, Alca, Bernacia, Chaman, Colimbo, Fardela, Fumarel, Negron, Pigargo, Pagazza, Serreta", PG 410,Venezuela,,Gavion (WPB),Patrol Boat,Patrol,65.0,24.4,5.2,1.6,Monohull,Sleek,Raked,25.0,10.0,Single continuous,1,Single compact,1.0,Raked,Integrated,1.0,2 Detroit diesels,"2x 12.7 mm MGs, 1x 40mm MK 19 GL",0.5,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Raytheon R1210; I-band,,,Multiple positions,3.0,Medium (30mm-76mm),,,Multiple positions,n,n,0.0,n,0.0,Halter Marine,1999.0,1999.0,,
2402,979,986,90fbf090-8086-4df8-a0d3-4559d071c494,979-986,"Gavion, Alca, Bernacia, Chaman, Colimbo, Fardela, Fumarel, Negron, Pigargo, Pagazza, Serreta", PG 411,Venezuela,,Gavion (WPB),Patrol Boat,Patrol,65.0,24.4,5.2,1.6,Monohull,Sleek,Raked,25.0,10.0,Single continuous,1,Single compact,1.0,Raked,Integrated,1.0,2 Detroit diesels,"2x 12.7 mm MGs, 1x 40mm MK 19 GL",0.5,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Raytheon R1210; I-band,,,Multiple positions,3.0,Small (<30mm - CIWS small caliber),,,Multiple positions,n,n,0.0,n,0.0,Halter Marine,1999.0,1999.0,,
2402,979,986,90fbf090-8086-4df8-a0d3-4559d071c494,979-986,"Gavion, Alca, Bernacia, Chaman, Colimbo, Fardela, Fumarel, Negron, Pigargo, Pagazza, Serreta", PG 411,Venezuela,,Gavion (WPB),Patrol Boat,Patrol,65.0,24.4,5.2,1.6,Monohull,Sleek,Raked,25.0,10.0,Single continuous,1,Single compact,1.0,Raked,Integrated,1.0,2 Detroit diesels,"2x 12.7 mm MGs, 1x 40mm MK 19 GL",0.5,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Raytheon R1210; I-band,,,Multiple positions,3.0,Medium (30mm-76mm),,,Multiple positions,n,n,0.0,n,0.0,Halter Marine,1999.0,1999.0,,
2402,979,986,90fbf090-8086-4df8-a0d3-4559d071c494,979-986,"Gavion, Alca, Bernacia, Chaman, Colimbo, Fardela, Fumarel, Negron, Pigargo, Pagazza, Serreta", PG 412,Venezuela,,Gavion (WPB),Patrol Boat,Patrol,65.0,24.4,5.2,1.6,Monohull,Sleek,Raked,25.0,10.0,Single continuous,1,Single compact,1.0,Raked,Integrated,1.0,2 Detroit diesels,"2x 12.7 mm MGs, 1x 40mm MK 19 GL",0.5,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Raytheon R1210; I-band,,,Multiple positions,3.0,Small (<30mm - CIWS small caliber),,,Multiple positions,n,n,0.0,n,0.0,Halter Marine,1999.0,1999.0,,
2402,979,986,90fbf090-8086-4df8-a0d3-4559d071c494,979-986,"Gavion, Alca, Bernacia, Chaman, Colimbo, Fardela, Fumarel, Negron, Pigargo, Pagazza, Serreta", PG 412,Venezuela,,Gavion (WPB),Patrol Boat,Patrol,65.0,24.4,5.2,1.6,Monohull,Sleek,Raked,25.0,10.0,Single continuous,1,Single compact,1.0,Raked,Integrated,1.0,2 Detroit diesels,"2x 12.7 mm MGs, 1x 40mm MK 19 GL",0.5,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Raytheon R1210; I-band,,,Multiple positions,3.0,Medium (30mm-76mm),,,Multiple positions,n,n,0.0,n,0.0,Halter Marine,1999.0,1999.0,,
2403,979,986,ab8f56bb-2d6d-43d9-81de-82131ca2c3eb,979-986,Los Taques,LG 11,Venezuela,,Utility Craft (YAG),Utility Craft,"Salvage, Search and Rescue",350.0,26.6,7.0,1.5,Monohull,Bulky,Bluff,9.0,10.0,Single continuous,1,Single compact,1.0,Squat/boxy,Integrated,1.0,1 diesel,1x 12.7 mm MG,0.5,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,None/Minimal,,,,,Amidships,1.0,Small (<30mm - CIWS small caliber),,,,n,n,0.0,n,0.0,,,1981.0,,
2404,979,986,ab8f56bb-2d6d-43d9-81de-82131ca2c3eb,979-986,Los Cavos,LG 12,Venezuela,,Utility Craft (YAG),Utility Craft,"Salvage, Search and Rescue",350.0,26.6,7.0,1.5,Monohull,Bulky,Bluff,9.0,10.0,Single continuous,1,Single compact,1.0,Squat/boxy,Integrated,1.0,1 diesel,1x 12.7 mm MG,0.5,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,None/Minimal,,,,,Amidships,1.0,Small (<30mm - CIWS small caliber),,,,n,n,0.0,n,0.0,,,1981.0,,
2405,979,986,95169e31-fd91-48d0-b58d-a20eed63fc6d,979-986,Polaris,LG 21,Venezuela,,Polaris (PBF),Patrol Boat,Drug Interdiction,5.0,8.5,2.6,0.8,Monohull,Sleek,Raked,50.0,,Minimal,1,Underwater exhaust,0.0,,,0.0,1 diesel outdrive,1x 12.7 mm MG,0.5,0.0,0.0,Balanced,Very Small (<500 tons),nan,Very Low,Simple arrays (1-2 basic radars),,Raytheon; I-band,,,Amidships,1.0,Small (<30mm - CIWS small caliber),,,,n,n,0.0,n,0.0,Cooper Marine,,1992.0,,
